[0.00s -> 2.30s]  three, two, four.
[1509.04s -> 1510.72s]  Thank you.
[1510.72s -> 1513.52s]  So this information was provided to board members,
[1513.52s -> 1516.52s]  but it is not online materials.
[1516.52s -> 1520.12s]  So I would direct you to the Bethel Public Schools website
[1520.12s -> 1522.68s]  under Board of Education 2020,
[1522.68s -> 1525.80s]  2021 education budget documents
[1525.80s -> 1527.76s]  and then you can see these materials.
[1528.76s -> 1533.36s]  The first memo reads as follows,
[1533.36s -> 1535.72s]  two Board of Selectment and Board of Finance
[1535.72s -> 1539.04s]  from Melanie O'Brien chair, Board of Education,
[1539.04s -> 1542.28s]  date April 10, 2020.
[1542.28s -> 1545.32s]  During the budget preparation and deliberation process,
[1545.32s -> 1547.48s]  the district presented a detailed picture
[1547.48s -> 1550.36s]  of the challenges faced by the growth and enrollment,
[1550.36s -> 1553.44s]  more students with needs requiring support systems,
[1553.44s -> 1555.68s]  and persistent social and emotional needs
[1555.68s -> 1558.00s]  of children throughout the district.
[1558.00s -> 1560.24s]  These are trends that are on the rise.
[1560.24s -> 1563.00s]  It is our responsibility as a school district
[1563.00s -> 1564.96s]  to address the academic, social,
[1564.96s -> 1567.80s]  and emotional needs of all of our children.
[1567.80s -> 1571.68s]  The consequences of COVID-19 includes social isolation,
[1571.68s -> 1573.56s]  distance learning from home,
[1573.56s -> 1576.88s]  and limiting traditional school offered supports.
[1576.88s -> 1579.84s]  It is anticipated that most children will be lagging behind
[1579.84s -> 1583.52s]  at the start of the 2020 school year as distance learning
[1583.52s -> 1584.92s]  is not classroom learning,
[1584.92s -> 1588.16s]  and family members are not professional educators.
[1588.16s -> 1590.08s]  Classroom teachers, interventionists,
[1590.08s -> 1593.44s]  and special education staff will have to bridge the gap
[1593.44s -> 1596.64s]  between distance learning proficiency at year end
[1596.64s -> 1598.48s]  and grade level expectations
[1598.48s -> 1601.08s]  at the start of the next school year.
[1601.08s -> 1604.48s]  Our most vulnerable children will be hit hardest.
[1604.48s -> 1606.92s]  Our strained resources will be further stretched
[1606.92s -> 1609.20s]  by the effects of COVID-19,
[1609.20s -> 1611.84s]  but we understand the economic uncertainty
[1611.84s -> 1615.20s]  and financial stress that many families are experiencing.
[1615.20s -> 1617.88s]  The board is cautioning against a major reaction
[1617.88s -> 1620.16s]  to cut the board of education budget.
[1620.16s -> 1622.48s]  History has shown us that there are lasting
[1622.48s -> 1626.40s]  and detrimental effects of understaffing administrators,
[1626.40s -> 1628.48s]  teachers, and support staff.
[1628.48s -> 1631.68s]  Dr. Harvard has put together the attached memorandum
[1631.68s -> 1634.16s]  to provide general information about the impact
[1634.16s -> 1638.68s]  of potential further reductions to the board of education budget.
[1638.68s -> 1640.52s]  The board has been and will continue
[1640.52s -> 1643.56s]  to be transparent about the demonstrated needs
[1643.56s -> 1647.36s]  of all of our children, as well as the budget drivers.
[1647.36s -> 1650.68s]  It is imperative that our town leaders and community
[1650.68s -> 1654.36s]  understand our resources, the growing needs of our children,
[1654.36s -> 1656.32s]  and the consequences of further reductions
[1656.32s -> 1657.76s]  in the education budget.
[1661.12s -> 1663.64s]  Dr. Carver's minimum is as follows.
[1663.64s -> 1666.68s]  To Bethel Seleckman and Board of Finance
[1666.68s -> 1669.88s]  from Dr. Christine Carver's superintendent of schools,
[1669.88s -> 1672.36s]  date April 10 to 2020,
[1672.36s -> 1676.68s]  regarding considerations for 2021 budget.
[1676.68s -> 1678.88s]  As you deliberate, we wanted to provide you
[1678.88s -> 1680.88s]  with the impact of any future reductions
[1680.88s -> 1683.60s]  to the board of education operating budget.
[1683.60s -> 1685.48s]  At our presentation, we already spoke
[1685.48s -> 1687.88s]  about the district theme and the crossroad.
[1687.88s -> 1689.44s]  While we know that there is real concern
[1689.44s -> 1691.32s]  about the status of the economy,
[1691.32s -> 1694.32s]  we caution you to recognize a long-term implication
[1694.32s -> 1696.44s]  of significant reductions.
[1696.44s -> 1698.84s]  In addition to all the significant challenges
[1698.84s -> 1701.12s]  we described in our budget presentation,
[1701.12s -> 1704.40s]  including increased enrollment, increased elementary class
[1704.40s -> 1707.88s]  size, open parent elementary classes
[1707.88s -> 1710.84s]  of 26 to 28 students, close parent,
[1710.84s -> 1714.28s]  more challenging demographics, which require more supports,
[1714.28s -> 1717.20s]  and the social emotional needs of all of our students,
[1717.20s -> 1719.96s]  the closure due to COVID-19 has added a new layer
[1719.96s -> 1723.36s]  to potential issues and its closures.
[1723.36s -> 1726.00s]  While the commenders staff are doing a phenomenal job
[1726.00s -> 1727.72s]  given the circumstances,
[1727.76s -> 1730.24s]  we anticipate that our students will have academic gaps
[1730.24s -> 1733.44s]  starting in the 2021 school year.
[1733.44s -> 1736.52s]  The virtual services we are providing do not equate
[1736.52s -> 1739.44s]  to the experiences we provide in a classroom.
[1739.44s -> 1743.00s]  We will have a challenge making up for these deficits.
[1743.00s -> 1745.24s]  Further reductions could have lasting impact
[1745.24s -> 1747.80s]  on the generation of children.
[1747.80s -> 1751.28s]  Education is an asset to the fiscal health of the community,
[1751.28s -> 1754.60s]  long-term implications of increased class sizes
[1754.60s -> 1757.92s]  failure to provide adequate intervention services
[1757.92s -> 1760.28s]  and stripping a webhead that come core programs
[1760.28s -> 1763.12s]  within our schools will deteriorate our system
[1763.12s -> 1766.08s]  and negatively impact our community.
[1766.08s -> 1770.32s]  We have dedicated staff who have always exceeded expectations.
[1770.32s -> 1772.12s]  They can work in surrounding communities
[1772.12s -> 1774.36s]  which provide better compensation.
[1774.36s -> 1777.16s]  They choose to stay with us because of our culture.
[1777.16s -> 1780.32s]  Reductions in staff and creating increased expectations
[1780.32s -> 1782.40s]  will affect morale and our culture,
[1782.44s -> 1784.28s]  which could drive teachers to look towards
[1784.28s -> 1785.88s]  more affluent districts.
[1785.88s -> 1788.60s]  This will exacerbate an already existing issue.
[1789.60s -> 1792.32s]  We were required by Governor Lamont's executive orders
[1792.32s -> 1795.64s]  to pay the majority of our contracts and labor expenses
[1795.64s -> 1797.64s]  despite our school closure.
[1797.64s -> 1799.52s]  Therefore, it will limit the potential
[1799.52s -> 1800.92s]  for the end of the year savings
[1800.92s -> 1803.96s]  that might have helped to mitigate this situation.
[1803.96s -> 1806.08s]  While we need the best of the circumstances,
[1806.08s -> 1809.08s]  we will not give up to replicate all of our services
[1809.08s -> 1810.92s]  for students with disabilities.
[1810.92s -> 1813.64s]  We likely will have to provide additional services
[1813.64s -> 1815.64s]  in the next school school year
[1815.64s -> 1817.76s]  as required by state and federal law.
[1818.68s -> 1821.96s]  Reductions will result in legoffs and loss of positions.
[1821.96s -> 1826.72s]  85.4% of our operating budget is salaries and benefits.
[1826.72s -> 1828.84s]  The district, like municipalities,
[1828.84s -> 1831.04s]  does not pay into unemployment.
[1831.04s -> 1833.76s]  Therefore, we would be required to pay up to 60%
[1833.76s -> 1835.76s]  of the unemployment expenses.
[1835.76s -> 1838.40s]  This would not only significantly impact the services
[1838.40s -> 1842.96s]  our students receive, but also perpetuate economic downturn.
[1842.96s -> 1845.08s]  We wanted to provide you with an idea
[1845.08s -> 1846.88s]  of what potential reductions could be
[1846.88s -> 1850.00s]  in terms of loss of positions and or layoffs.
[1850.00s -> 1853.44s]  We could not make any reductions in special education
[1853.44s -> 1856.00s]  as we are mandated by state and federal law
[1856.00s -> 1857.92s]  to provide those programs.
[1857.92s -> 1860.56s]  We have to provide transportation to our students,
[1860.56s -> 1863.64s]  St. Mary's, Non-Alog and Abbott Tech.
[1863.64s -> 1866.76s]  Between staff, special education and transportation,
[1866.80s -> 1869.36s]  there's not a lot of discretionary spending.
[1869.36s -> 1872.40s]  We wanted to provide you with a look at what the impact would be
[1872.40s -> 1874.68s]  if we have significant reductions.
[1874.68s -> 1877.32s]  The first chart provides an overview of the salaries
[1877.32s -> 1879.08s]  we are facing all assumptions on.
[1880.40s -> 1884.00s]  And there is a chart of cost salary benefits and total
[1884.00s -> 1886.56s]  for administrators, teachers, peer educators,
[1886.56s -> 1889.80s]  secretaries, 12 months, secretaries, 10 months,
[1889.80s -> 1892.04s]  nurses, custodians, and unaffiliated.
[1892.48s -> 1898.64s]  I am going to, I'm going to read this because I'm supposed
[1898.64s -> 1900.44s]  to be reading this into the record.
[1900.44s -> 1906.44s]  So administrators salary 125,400 benefits 21,000
[1906.88s -> 1911.88s]  for a total of 146.4 for teachers, 56,792
[1913.24s -> 1918.24s]  for salary benefits 21,000 for a total of 77,792.
[1919.24s -> 1924.24s]  Peer educators, a salary of 23,5 benefits 18,5 for a total of 42,000.
[1927.36s -> 1931.40s]  Secretary 12 months, a salary of 50,470,
[1931.40s -> 1936.00s]  21,000 in benefits for a total of 71,470.
[1936.00s -> 1939.96s]  Secretary 10 months, 35,900 salary,
[1939.96s -> 1944.96s]  21,000 benefits, 59,6, I'm sorry, 56,9 for a total.
[1945.80s -> 1951.80s]  For a nurse, salary of 59,454 benefits of 21,000
[1951.80s -> 1956.80s]  for a total of 80,454 custodian 55,665 benefits of 21,000
[1960.08s -> 1963.40s]  for a total of 76,655.
[1963.40s -> 1967.44s]  I'm affiliated 65,000 benefits of 21,000
[1967.44s -> 1969.16s]  for a total of 86,000.
[1970.08s -> 1972.36s]  This table provides you with an overview of the cuts
[1972.36s -> 1974.76s]  needed to get to a 3% increase
[1974.76s -> 1976.80s]  over last year's operating budget
[1978.00s -> 1980.64s]  and currently at 3.78%.
[1981.84s -> 1986.84s]  Sumeria 1 is to get the budget to 3%.
[1987.08s -> 1990.68s]  This would be five teachers,
[1990.68s -> 1994.88s]  a loss of five teachers or 9.5 paris
[1994.88s -> 1999.64s]  or a combination of five positions,
[1999.64s -> 2003.56s]  a combination of which would be administrator,
[2003.56s -> 2006.56s]  teacher, secretary, nurse, custodian, or unfiliated.
[2008.04s -> 2013.04s]  That would be a reduction of 390,000, I'm sorry, 391.870.
[2015.16s -> 2017.36s]  This next table provides you with an overview
[2017.36s -> 2020.04s]  of a 2% increase over last year's budget.
[2021.24s -> 2024.68s]  This is to get us to get the budget to 2%.
[2024.68s -> 2027.84s]  This would be 11 teachers
[2028.84s -> 2034.84s]  or 20 paris or a combination of positions
[2036.44s -> 2038.88s]  and the 12 combination of administrators,
[2038.88s -> 2040.80s]  teachers, secretaries, nurse, custodian,
[2040.80s -> 2042.20s]  or unfiliated.
[2042.20s -> 2047.20s]  That would be a reduction of 856,000, 025.
[2049.96s -> 2052.64s]  In the first table, if the Board of Education
[2052.64s -> 2055.40s]  chose not to add the specific four positions
[2055.40s -> 2057.00s]  proposed by the superintendent,
[2058.28s -> 2062.52s]  the one administrator, teacher, and custodian,
[2062.52s -> 2064.28s]  would be Alan H. Mashable.
[2066.44s -> 2068.80s]  The Zoom functionality does let us know
[2068.80s -> 2070.32s]  where that noise is coming from.
[2071.52s -> 2073.80s]  If you would like to maybe mute your phone
[2073.80s -> 2074.96s]  instead of being called out,
[2074.96s -> 2076.72s]  I would ask you to do that, please.
[2079.36s -> 2080.88s]  I think that's my dog.
[2083.00s -> 2084.56s]  So I just muted me.
[2087.92s -> 2088.68s]  Go ahead, Melanie.
[2088.68s -> 2089.68s]  Okay, all right.
[2091.16s -> 2092.84s]  So in that first table
[2092.84s -> 2095.80s]  and that was the information concerning
[2095.80s -> 2098.04s]  the getting the budget to 3%.
[2098.04s -> 2099.76s]  If the Board of Education chose not
[2099.76s -> 2102.40s]  to add the specific four positions proposed
[2102.40s -> 2103.60s]  by the superintendent,
[2104.68s -> 2106.76s]  the total of one administrator, two teachers
[2106.76s -> 2111.76s]  and one custodian would be 378,649.
[2111.96s -> 2115.92s]  To get to 3%, another 13,000, 221 would be needed
[2115.92s -> 2117.96s]  plus the steel unidentified previous
[2117.96s -> 2120.72s]  word of finance reduction of 30,000.
[2120.72s -> 2122.52s]  Would require that a peer professional
[2122.52s -> 2125.12s]  or equivalent salary also be eliminated.
[2125.12s -> 2129.72s]  So reducing the budget from 3.78% to 3%
[2129.72s -> 2133.04s]  would require a combination of five positions
[2133.04s -> 2134.88s]  as stated in the first table.
[2134.88s -> 2136.64s]  The actual productions of positions
[2136.64s -> 2138.52s]  would be decided by the Board of Education
[2138.52s -> 2141.52s]  and administration as these four proposed positions
[2141.52s -> 2143.44s]  were considered critical to student achievement
[2143.44s -> 2144.76s]  and the strategic plan.
[2146.92s -> 2149.28s]  Potential impacts.
[2149.28s -> 2151.88s]  Limit course offerings at Bethel High School
[2151.88s -> 2154.56s]  put AP on rotational schedules,
[2154.56s -> 2157.32s]  larger class size, sister twerp wide,
[2157.32s -> 2160.44s]  cuts to electives, specials or enrichment programs
[2160.44s -> 2163.08s]  six through 12, eliminate core programs
